timestamp,x,y,z
1724855618145,0.18,-0.18,-0.24
1724855649218,0.18,-0.18,-0.24
1724855679505,-0.06,-0.18,-0.24
1724855709796,0.12,-0.18,-0.18
1724855740108,0.18,-0.18,-0.24
1724855770403,0.18,-0.18,-0.18
1724855800535,-69.21,51.27,-216.74
1724855811533,-153.93,-207.15,400.45
1724855821919,55.73,-20.26,-3.97
1724855832213,74.58,140.5,-149.96
1724855842528,-13.67,1.34,-9.64
1724855853011,34.42,159.12,-184.94
1724855863327,-27.22,-133.12,239.01
1724855873806,9.52,14.65,61.16
1724855884373,-51.88,20.45,-84.66
1724855894667,32.65,172.79,-211.18
1724855905070,59.51,55.6,-117.13
1724855915484,-9.46,-121.64,206.79
1724855925761,-6.84,-97.53,186.22
1724855936038,16.11,-116.21,137.88
1724855946324,2.14,-0.43,132.32
1724855956618,-28.02,6.77,-19.17
1724855966920,-40.95,-11.84,-10.68
1724855977181,56.4,18.92,-75.74
1724855987459,18.74,-58.17,177.67
1724855997749,-4.03,-5.43,4.76
1724856008051,-0.73,-3.72,0.43
1724856018322,-7.87,2.38,-13.98
1724856028703,-2.99,3.54,-12.21
1724856038987,-1.22,-2.5,2.26
1724856049270,6.47,-13.43,-13.73
1724856059553,-0.49,-6.65,-11.11
1724856069973,-1.89,-1.89,-6.16
1724856080246,-4.64,7.2,1.04
1724856090519,-20.02,6.59,-9.34
1724856100816,2.99,1.22,-2.08
1724856111112,6.96,134.58,-55.79
1724856121390,22.83,84.23,-49.8
1724856131666,-20.45,31.74,-46.63
1724856141937,-7.57,-20.02,43.76
1724856152206,138.73,17.58,41.75
1724856162480,-4.09,77.03,-76.17
1724856172774,17.58,2.87,-1.65
1724856183082,7.75,12.76,-29.66
1724856193355,-1.28,12.63,4.88
1724856203658,-2.38,21.97,0.37
1724856213931,27.83,-5.19,101.01
1724856224201,-5.62,2.99,0.73
1724856234759,-2.2,0.18,-0.79
1724856245059,-135.74,49.62,36.56
1724856255359,87.46,-70.56,-46.14
1724856265811,147.09,72.94,-116.58
1724856276205,-1.04,-24.41,-38.02
1724856286599,-0.61,-3.23,0.85
1724856296902,10.07,10.86,-13.55
1724856307186,-21.3,-15.81,36.56
1724856317476,99.24,51.27,-27.1
1724856327893,-25.51,-108.64,136.96
1724856338207,-13.92,-21.06,14.77
1724856348524,-2.81,-2.01,1.28
1724856358835,0.98,-2.69,3.66
1724856369338,119.38,128.3,-146.61
1724856379616,10.44,-9.09,38.88
1724856389896,-1.04,-2.87,4.52
1724856400181,2.81,2.81,-3.72
1724856410454,0.85,0.18,-0.73
1724856420739,-26.73,35.89,-16.54
1724856431479,-1.71,-0.37,-3.48
1724856441813,-0.79,-7.93,7.02
1724856452202,40.83,114.07,-112.06
1724856462475,-84.59,94.24,-102.29
1724856472782,-1.22,12.57,-7.81
1724856483082,2.44,-0.55,-2.2
1724856493363,69.4,151.79,-206.91
1724856503646,-9.77,83.56,-67.38
1724856513963,-17.76,6.71,53.41
1724856524241,0.67,24.29,6.65
1724856534539,12.33,-1.59,-10.19
1724856544830,-1.34,-6.1,2.81
1724856555405,55.97,62.01,-122.25
1724856565955,-115.17,-263.98,160.34
1724856576517,3.54,13.06,-20.51
1724856587077,54.63,13.06,-24.54
1724856597637,-23.25,-131.29,156.01
1724856608200,26.79,10.74,50.48
1724856618473,6.1,-56.64,-19.65
1724856628783,64.15,73.79,-97.11
1724856639075,-29.17,-69.7,-0.37
1724856649536,-80.57,-132.87,225.77
1724856660037,-132.51,-82.46,226.62
1724856670352,-109.99,-83.07,185.67
1724856680652,-69.58,-9.58,89.97
1724856690931,-129.03,-124.82,177.37
1724856701219,-7.63,-11.47,70.56
1724856711580,-87.52,-73.0,117.37
1724856722115,152.4,122.31,-139.77
1724856732679,-66.59,-92.16,81.54
1724856742964,-48.16,-85.82,98.39
1724856753381,75.99,89.78,-105.53
1724856763643,-13.31,-6.16,-6.77
1724856773913,-35.58,-120.24,90.7
1724856784191,-2.2,16.78,-36.74
1724856794498,28.2,97.96,-124.33
1724856804772,-83.31,-108.95,120.48
1724856815063,5.0,19.04,-33.33
1724856825339,35.16,82.64,-96.68
1724856835624,-62.07,21.48,63.54
1724856846593,15.44,-111.51,89.84
1724856857155,0.92,3.3,-7.39
1724856867454,68.6,61.52,-50.29
1724856877958,15.63,5.74,9.89
1724856888264,243.41,136.05,-151.86
1724856898755,-44.98,-12.08,143.8
1724856909083,-50.66,-99.73,41.44
1724856919569,-5.25,0.85,-8.06
1724856929865,15.63,-6.77,30.27
1724856940354,-16.66,-1.83,-21.24
1724856950636,-0.67,-0.37,-0.12
1724856960923,0.12,-0.18,-0.18
1724856971405,0.12,-0.18,-0.18
1724856981712,0.18,-0.18,-0.18
1724856991993,0.37,-0.12,-0.24
1724857002277,0.12,-0.18,-0.24
1724857012568,0.18,-0.18,-0.24
1724857022863,0.24,-0.12,-0.24
1724857033136,0.12,-0.18,-0.24
1724857043710,0.24,-0.18,-0.24
1724857054341,0.18,-0.12,-0.24
1724857064644,0.73,-0.18,-0.18
1724857074932,0.31,-0.18,-0.18
1724857085203,0.12,-0.18,-0.24
1724857095489,0.31,-0.18,-0.24
1724857105790,0.24,-0.18,-0.24
1724857116077,0.24,-0.18,-0.24
1724857126396,0.12,-0.18,-0.24
1724857136748,0.24,-0.18,-0.24
1724857147070,0.18,-0.18,-0.24
1724857157398,0.18,-0.24,-0.24
1724857167879,0.18,-0.18,-0.24
1724857178434,0.18,-0.18,-0.24
1724857188991,0.18,-0.24,-0.24
1724857199553,0.18,-0.18,-0.24
1724857210111,0.06,-0.12,-0.24
1724857220454,0.24,-0.12,-0.24
