timestamp,x,y,z
1725465427670,14.47,-71.35,120.0
1725465438717,46.63,-100.22,3.91
1725465448977,-2.87,-227.11,230.35
1725465459236,25.15,-189.15,163.88
1725465469498,-34.18,-154.11,171.87
1725465479763,13.49,-171.69,159.3
1725465490035,9.83,172.55,-136.29
1725465500311,-15.69,-88.2,103.27
1725465510590,47.0,206.3,-155.7
1725465520859,-17.82,18.92,-15.69
1725465531110,13.67,-154.24,123.23
1725465541388,24.11,193.12,-148.62
1725465551668,-24.35,-18.37,11.72
1725465561949,-12.88,-209.29,193.73
1725465572218,6.9,-151.12,-29.42
1725465582475,-10.99,-101.38,48.89
1725465592737,53.41,-437.81,292.24
1725465602996,41.75,100.77,45.84
1725465614234,-14.83,77.27,21.73
1725465624787,23.01,-149.6,-30.27
1725465635093,66.96,-99.79,-62.19
1725465645349,-82.34,135.38,56.27
1725465655634,49.07,-143.55,-34.42
1725465665908,85.45,20.26,-0.18
1725465676174,50.35,-3.05,35.83
1725465686434,-21.91,-35.1,-20.75
1725465696709,127.99,17.64,2.14
1725465706987,-114.56,-5.92,-103.76
1725465717255,-225.28,72.33,268.92
1725465727509,-47.24,306.52,27.71
1725465737776,-12.45,394.17,15.63
1725465748055,6.65,281.92,14.28
1725465758314,19.41,348.88,-42.91
1725465768596,-0.49,124.21,-19.35
1725465778865,9.28,146.12,-0.98
1725465789131,-150.88,-200.74,64.82
1725465799391,-67.69,1.46,53.04
1725465809677,-7.93,25.39,5.43
1725465819933,50.66,434.57,-38.57
1725465830187,-131.53,134.89,71.17
1725465840466,4.88,-3.17,-5.98
1725465850746,7.26,312.62,-11.9
1725465861014,38.02,187.38,-57.13
1725465871270,-101.14,146.67,52.37
1725465881529,-75.38,239.14,52.8
1725465891791,-18.62,-374.82,20.69
1725465902047,-56.58,-380.0,8.0
1725465912312,73.36,-98.27,-114.2
1725465922585,33.14,-374.51,-20.81
1725465932853,48.34,-356.75,-42.91
1725465943108,32.53,-372.44,-29.97
1725465953385,22.34,-340.09,-8.91
1725465963654,-47.0,-10.44,26.73
1725465973906,2.14,-377.81,-17.33
1725465984166,22.52,-222.29,-4.82
1725465994424,-134.64,246.46,64.09
1725466004706,-34.0,-239.56,30.7
1725466014971,8.61,-300.05,6.77
