Timestamp,Temperature (°C),Humidity (%)
2024-09-05 16:29:02,20.9,43.0
2024-09-05 16:29:04,20.9,43.0
2024-09-05 16:29:06,20.8,43.0
2024-09-05 16:29:08,20.8,43.0
2024-09-05 16:29:10,20.8,44.0
2024-09-05 16:29:12,20.7,44.0
2024-09-05 16:29:14,20.7,44.0
2024-09-05 16:29:16,20.7,44.0
2024-09-05 16:29:18,20.6,44.0
2024-09-05 16:29:20,20.6,44.0
2024-09-05 16:29:22,20.5,44.0
2024-09-05 16:29:24,20.5,44.0
2024-09-05 16:29:26,20.5,44.0
2024-09-05 16:29:28,20.4,44.0
2024-09-05 16:29:30,20.4,45.0
2024-09-05 16:29:32,20.3,45.0
2024-09-05 16:29:34,20.3,45.0
2024-09-05 16:29:36,20.3,45.0
2024-09-05 16:29:38,20.2,45.0
2024-09-05 16:29:40,20.2,45.0
2024-09-05 16:29:42,20.1,45.0
2024-09-05 16:29:44,20.1,45.0
2024-09-05 16:29:46,20.1,45.0
2024-09-05 16:29:48,20.0,46.0
2024-09-05 16:29:50,20.0,46.0
2024-09-05 16:29:52,20.0,46.0
2024-09-05 16:29:54,20.0,46.0
2024-09-05 16:29:56,20.0,46.0
2024-09-05 16:29:58,19.9,46.0
2024-09-05 16:30:00,19.9,46.0
2024-09-05 16:30:02,19.9,46.0
2024-09-05 16:30:04,19.8,46.0
2024-09-05 16:30:06,19.7,46.0
2024-09-05 16:30:08,19.7,47.0
2024-09-05 16:30:10,19.7,47.0
2024-09-05 16:30:12,19.7,47.0
2024-09-05 16:30:14,19.7,47.0
2024-09-05 16:30:16,19.6,47.0
2024-09-05 16:30:18,19.6,47.0
2024-09-05 16:30:20,19.5,47.0
2024-09-05 16:30:22,19.5,47.0
2024-09-05 16:30:24,19.5,47.0
2024-09-05 16:30:26,19.5,47.0
2024-09-05 16:30:28,19.5,48.0
2024-09-05 16:30:30,19.5,49.0
2024-09-05 16:30:32,19.5,51.0
2024-09-05 16:30:34,19.5,53.0
2024-09-05 16:30:36,19.5,55.0
2024-09-05 16:30:38,19.7,58.0
2024-09-05 16:30:40,19.8,60.0
2024-09-05 16:30:42,20.0,63.0
2024-09-05 16:30:44,20.1,65.0
2024-09-05 16:30:46,20.3,67.0
2024-09-05 16:30:48,20.6,69.0
2024-09-05 16:30:50,20.8,71.0
2024-09-05 16:30:52,21.0,73.0
2024-09-05 16:30:54,21.3,74.0
2024-09-05 16:30:56,21.5,76.0
2024-09-05 16:30:58,21.7,77.0
2024-09-05 16:31:00,21.9,76.0
2024-09-05 16:31:02,22.1,75.0
2024-09-05 16:31:04,22.2,73.0
2024-09-05 16:31:06,22.4,70.0
2024-09-05 16:31:08,22.5,68.0
2024-09-05 16:31:10,22.6,66.0
2024-09-05 16:31:12,22.7,64.0
2024-09-05 16:31:14,22.8,62.0
2024-09-05 16:31:16,22.8,60.0
2024-09-05 16:31:18,22.8,59.0
2024-09-05 16:31:20,22.9,57.0
2024-09-05 16:31:22,22.9,56.0
2024-09-05 16:31:24,22.9,55.0
2024-09-05 16:31:26,22.9,54.0
2024-09-05 16:31:28,22.9,52.0
